序號,問題,答覆,提供單位,業務類別
11,詢問何處可查閱或下載交通部部頒規範。,請於交通部全球資訊網首頁/政策、法規與研究/法規資訊/部頒規範(https://www.motc.gov.tw/ch/app/divpubreg_list?lang=ch&folderName=ch&id=740)點選所需查詢規範名稱，即可查閱或下載相關部頒規範，連絡電話： (02)2349-2074。,綜合規劃司,部頒規範
12,索取交通部科技委託研究計畫報告書。,請於交通部網站首頁/公務瀏覽/科技研究/委託研究成果報告摘要及文件下載 (https://www.motc.gov.tw/ch/app/data/list?module=&id=714)即可下載本部交通科技及資訊司歷年委託研究計畫成果報告摘要及報告書檔案，連絡電話： (02)2349-2878,交通科技及資訊司,研究計畫
13,檢舉交通部暨所屬機關不當辦理政府採購案。,連絡電話：(02)2349-2790傳真：(02)2389-5930地址：臺北市仁愛路一段 50 號,秘書處,政府採購
14,熱氣球活動相關資訊。,請於民航局網站首頁/熱氣球專區 (https://www.caa.gov.tw/article.aspx?a=186&lang=1)，即可看到相關資訊，連絡電話：(02)2349-6363。,航政司,航空資訊
15,遙控無人機相關資訊,請於民航局網站首頁/無人機專區 (https://www.caa.gov.tw/article.aspx?a=188&lang=1) ，即可看到相關資訊，連絡電話：(02)2349-6316、6317。,航政司,航空資訊
16,超輕型載具活動相關資訊。,請於民航局網站首頁/超輕型載具專區 (https://www.caa.gov.tw/article.aspx?a=187&lang=1)，可看到相關資訊，連絡電話：(02)2349-6327。,航政司,航空資訊
17,消費者航空相關資訊。,請於民航局網站首頁/便民服務/消費者權益保護專區/客運服務 (https://www.caa.gov.tw/article.aspx?a=274&lang=1)，即可看到國際機票交易重要須知範本、國內線航空乘客運送定型化契約範本、及國內線航空乘客運送定型化契約應記載及不得記載事項等與您搭機有關之相關資訊，連絡電話： (02)2349-6047。,航政司,航空資訊
18,詢問如何通報海難事件。,請洽本部航港局海事中心(https://www.motcmpb.gov.tw/Article?siteID=1&nodeID=499)，連絡電話: (02)8978-1419(24 小時)。,航政司,海事管理
19,詢問金門、馬祖地區小三通船舶航班及相關資訊。,請逕洽本部航港局航務組(https://www.motcmpb.gov.tw/Information?siteId=1&nodeId=543)，連絡電話： (02)8978-8057。,航政司,小三通資訊
20,詢問船員訓練相關資訊。,請逕洽本部航港局船員組 (https://www.motcmpb.gov.tw/Information?siteId=1&nodeId=350)，連絡電話： (02)8978-8036。,航政司,船員訓練
"
21.",詢問遊艇及動力小船駕駛訓練、測驗、執照等相關事宜。,請逕洽本部航港局船員組 (https://yachtintaiwan.azurewebsites.net/QAs?page=1)，連絡電話：(02)8978- 6828。,航政司,遊艇及動力小船駕駛
22,反映計程車收費或駕駛服務問題。,計程車客運業營運管理與監督事項，在直轄市為直轄市政府，可洽各直轄市政府交通局；非直轄市者請洽公路局(02)2307-0123 或 0800-231-035。,公共運輸及監理司,計程車管理
23,反映道路缺失問題。,一、一般道路缺失通報與查詢，請至交通部交通安全入口網首頁 (https://168.motc.gov.tw/)/服務專區，點選「路口改善通報」並依指示步驟填列相關資料，我們會將您的意見交付權責道路主管機關，並盡快回復您。二、若為高速公路相關問題，管養單位為交通部高速公路局，電話為(02)2909-6141 或 1968。三、若為省道相關問題，管養單位為交通部公路局，電話為(02)2307-0123 或0800-231-035。四、若為縣、鄉道或市區道路相關問題，管養單位為地方政府，請逕向各地方政府反映。,路政及道安司,道路工程
24,詢問中華郵政公司客服專線號碼?,中華郵政公司客服專線電話號碼為 0800-700-365 免付費電話（手機請改撥付費電話 04-2354-2030），是 24 小時全年無休提供服務，歡迎多加利用。,交通產業發展及國際事務司,郵政客服
25,詢問如何查詢各地郵局之地址、電話及營業時間等相關資料。,請至中華郵政全球資訊網首頁/營業據點/全國郵局查詢(含代辦所)。(https://www.post.gov.tw/post/internet/I_location/default.jsp?ID=19),交通產業發展及國際事務司,郵務業務
26,詢問如何查詢 3+3郵遞區號?,請至中華郵政全球資訊網首頁/查詢專區/郵務業務/郵遞區號查詢/ 3+3 郵遞區號查詢（https://www.post.gov.tw/post/internet/Postal/index.jsp?ID=208),交通產業發展及國際事務司,郵務業務
27,詢問郵政相關法規及郵務營業規章,請至中華郵政全球資訊網首頁/下載專區/下載項目一覽/郵政法規查詢。(https://www.post.gov.tw/post/internet/Download/all_list.jsp?ID=2201),交通產業發展及國際事務司,郵務業務
28,詢問國內函件種類,請至中華郵政全球資訊網首頁/郵務/函件業務/國內函件業務說明/ (https://www.post.gov.tw/post/internet/Postal/index.jsp?ID=2020101),交通產業發展及國際事務司,郵務業務
29,詢問郵局代收貨價郵件之收寄服務措施。,請至中華郵政全球資訊網首頁/郵務業務/代收貨款服務查詢(https://www.post.gov.tw/post/internet/Postal/index.jsp?ID=1397437571086),交通產業發展及國際事務司,郵務業務
30,詢問郵局禁止交寄哪些文件或物品。,請至中華郵政全球資訊網首頁/查詢專區/郵務業務/禁寄物品(含各國)及危險物品查詢 (https://www.post.gov.tw/post/internet/SearchZone/index.jsp?ID=1406699177348),交通產業發展及國際事務司,郵務業務
31,詢問如何註冊 i 郵購會員？,請至中華郵政全球資訊網首頁/i 郵購/FAQ 常見問題 (https://www.postmall.com.tw/docdata.aspx?uid=16)，即可瀏覽註冊 i 郵購會員流程說明，或諮詢i 郵購客服電話：(02)2392-1310 分機 2807、2886 或 2887。,交通產業發展及國際事務司,i 郵購
32,詢問寄往大陸郵件之關務及關稅規定。,請至中華郵政全球資訊網首頁/郵務業務/服務指引/大陸/快捷/業務說明項下查詢 (https://www.post.gov.tw/post/internet/Postal/index.jsp?ID=2010301),交通產業發展及國際事務司,兩岸通郵
33,詢問寄往大陸地區美妝保養品、3C電子產品等之收寄規定。,請至中華郵政全球資訊網首頁/郵務業務/服務指引/大陸/快捷/業務說明項下查詢(https://www.post.gov.tw/post/internet/Postal/index.jsp?ID=2010301),交通產業發展及國際事務司,兩岸通郵
34,詢問寄往大陸地區之郵件方式。,請至中華郵政全球資訊網首頁/郵務業務/服務指引/大陸/（https://www.post.gov.tw/post/internet/Postal）查詢函件、包裹、快捷等服務。,交通產業發展及國際事務司,兩岸通郵
35,查詢各類郵件資費。,請至中華郵政全球資訊網首頁/查詢專區/郵務業務/郵件資費查詢 (https://www.post.gov.tw/post/internet/SearchZone/index.jsp?ID=130101)，或洽各地郵局窗口免費索取「郵件資費小冊」查閱。,交通產業發展及國際事務司,郵務業務
36,詢問郵政壽險商品。,請至中華郵政全球資訊網首頁/壽險業務/保險業務/商品櫥窗/商品總覽 (https://www.post.gov.tw/post/internet/Insurance/index.jsp?ID=4010104)，再點選商品名稱，可查詢到相關商品內容及保單費率試算等資訊，歡迎多加利用。,交通產業發展及國際事務司,壽險業務
37,詢問郵票發行計畫?,請至中華郵政全球資訊網首頁/ 集郵業務專區/ 新郵消息/ 新郵發行計畫 (https://www.post.gov.tw/post/internet/Philately/index.jsp?ID=50102)，可查詢近幾年之發行郵票計畫，相關問題可洽中華郵政顧客服務中心，服務專線為 0800- 700-365，至手機請改撥付費電話(04)2354-2030。,交通產業發展及國際事務司,集郵業務
38,詢問新開立存簿儲金帳戶有無資格限制？一般個人開立存簿儲金戶，所需之證件？,請至中華郵政全球資訊網首頁/儲匯業務/存簿儲金/開戶及憑辦文件查詢。(https://www.post.gov.tw/post/internet/B_saving/index.jsp?ID=3010102),交通產業發展及國際事務司,儲匯業務
"
39.",反映高鐵、臺鐵沿線行動通訊品質不良。,本部與通傳會協力，積極改善高鐵、臺鐵沿線行動通訊品質，並持續督導鐵道局、台灣高鐵公司、臺鐵公司等協助行動通信業者解決沿線通訊品質，以確保消費者權益。至 109 年底已完成高鐵沿線 4G 行動通信品質改善工程、列車及車站之 Wi-Fi 熱點建置，電信業者表示將持續進行訊號優化及調校，提供旅客更好的服務品質；臺鐵已於 113 年底完成臺鐵隧道段 5G 改善設備涵蓋。,交通產業發展及國際事務司,電信產業協助
40,陳情電信消費爭議。,按「國家通訊傳播委員會組織法」第 3 條規定，電信消費爭議屬國家通訊傳播委員會（NCC）掌理事項，可向「電信消費爭議處理中心」陳情，免付費電話 0800-034-580。,交通產業發展及國際事務司,電信客服
41,國家通訊傳播委員會與交通部之關係,一、國家通訊傳播委員會係於 95 年 2 月 22 日成立之獨立機關，與本部之間並無隸屬關係。二、「國家通訊傳播委員會組織法」第 2 條規定「自本會成立之日起，通訊傳播相關法規，包括電信法、廣播電視法、有線廣播電視法及衛星廣播電視法，涉及本會職掌，其職權原屬交通部、行政院新聞局、交通部電信總局者，主管機關均變更為本會。其他法規涉及本會職掌者，亦同。」,交通產業發展及國際事務司,電信監理
42,索取交通部歷年道路交通安全年報。,請於交通安全入口網站首頁/教材文宣/點選「出版品」 (https://bit.ly/35vs0kY)，即可下載歷年道路交通安全年報，連絡電話： (02)2349-2856。,路政及道安司,交通安全宣導
43,詢問交通安全宣導文宣，如歷年影片及動漫。,請於交通安全入口網首頁(https://168.motc.gov.tw)，可依您欲了解主題點選內容，連絡電話：(02)2349-2844。,路政及道安司,交通安全宣導
44,索取交通部歷年交通安全教材。,請於交通安全入口網站首頁/教材文宣/點選「一般教材」 (https://bit.ly/2s2vVI8)、「國中教材」(https://bit.ly/39OlIjO)、「國小教材」 (https://bit.ly/39RzKRt)，即可下載歷年交通安全教材，連絡電話：(02)2349-2845。,路政及道安司,交通安全宣導
"
45.",詢問學校老師想下載歌曲或圖案及影片來教導學生，是否會有著作權問題。,本部製作之宣導文宣及教材由本部擁有著作權，但該文宣、教材之目的即為對一般民眾宣教，只要不涉及營利行為，本部均歡迎一起關心道安宣導。如有對其內容增、刪、修飾等，仍應取得本部同意始得為之。,路政及道安司,交通安全宣導
"




46.",號誌化路口應設置行人專用時相,1、 考量各交岔路口行人穿越數差異相當大，尤其許多路口或時段(如非市中心路口及離峰時段)行人通行數量相當有限，甚至稀少，如強制所有路口均實施行人專用時相，易使車輛行經行人穿越數甚低之路口時，不耐空等紅燈卻未見行人，甚而養成闖紅燈習慣，造成更大的道路風險。爰此，號誌化路口各種通行方向用路人之通行秒數，須由當地道路主管機關依據該路口之條件與實際人流、車流狀況加以評估，並為最適之運作方式。2、 本部前於112年7月5日函頒「行人專用時相與行人早開時相設置原則」，訂有行人專用時相及行人早開時相之設施條件、交通條件及設置方式，請各縣市政府依道路交通狀況，評估設置行人專用時相(車輛禁止通行)或行人早開時相(小綠人提早亮起)，透過綠燈時間人車分流，減少行人與車輛交織衝突，俾兼顧行人安全與車流順暢。,路政及道安司,行人安全
"
47.",索取道路交通標誌標線號誌設置參考指引,本部 114 年 1 月 3 日函頒之「道路交通標誌標線號誌設置參考指引-一般道路情境」，已同步公布於本部道安總動員平台(https://www.roadsafety.tw/)開放各界下載，倘對本指引內容有相關建言，請於平台「意見回饋」提供具體建議，俾利後續檢討參考。,路政及道安司,交通工程
"

48.",交岔路口轉角未繪設紅線,1、 查道路交通安全規則第111條第1項第2款規定，交岔路口、公共汽車招呼站10公尺內、消防栓、消防車出入口五公尺內不得臨時停車，違者將依道路交通管理處罰條例第55條第1項第2款規定處以罰鍰，爰此，上述禁止臨時停車路段倘無其他標誌標線設置，即使未劃設禁止臨時停車線(紅線)，仍然不得臨時停車，先予敘明。2、 另為利民眾明確遵守交通規則，建請敘明具體地點，逕向當地道路主管機關反映，或提供本部轉道路主管機關查處，避免執法爭議。,路政及道安司,標誌標線設置
"



49.",政府鑑定機關鑑定(覆議)意見書是否為行政處分？ 效力為何？,1、 車輛行車事故鑑定及覆議作業辦法第2條、第10條規定，本部公路局各區監理所及直轄市政府車輛行車事故鑑定(覆議)會辦理行車事故鑑定(覆議)業務，依其所訂定設置要點規定，聘用相關專長領域之專家學者擔任鑑定(覆議)委員，並於鑑定(覆議)會議討論案情後做成鑑定(覆議)意見書，該鑑定(覆議)意見書在訴訟程序中係供法院裁判之「參考」，並非行政處分，對外(含對法院)亦無強制拘束力。2、 且鑑定人非只有政府鑑定機關可以擔任，民眾倘若對政府鑑定機關抱有疑義，建議可自覓專家學者擔任鑑定人，實務上亦有很多人自覓專家學者擔任鑑定人。,路政及道安司,車輛行車事故鑑定
50,詢問車輛管理手冊應自何處下載。,請連接至行政院全球資訊網後，於「資訊與服務」項下「行政事務」之「事務管理各手冊規定」頁面下（https://www.ey.gov.tw/Page/9695ADCD1F0CB9F4）查詢及下載。,秘書處,公務車管理
51,詢問地方政府車輛管理相關規定。,本部代院訂定之車輛管理手冊係屬行政院暨所屬各機關、國立學校及國營事業適用，地方政府得參照辦理亦得自行訂定相關規定，如民眾反映問題屬地方政府車輛管理事項，請逕洽該地方政府。,秘書處,公務車管理
52,詢問交通部國際會議廳及集會堂借用方式。,本部國際會議廳已公開招標提供集思國際會議顧問有限公司使用，其租用方式及費用請逕洽該公司，連絡電話：(02)2321-4946。,秘書處,會議廳管理
53,詢問到部洽公民眾如何停車。,一、汽車部分:本部鄰近停車場有杭州南路路邊停車格位、中華電信仁愛停車場(停車場出入口位於杭州南路行經信義路往仁愛路左側)等民營停車場，收費標準依各停車場之規定。二、機車:可停放於仁愛路及杭州南路路邊停車格或中華電信仁愛停車場(停車場出入口位於杭州南路行經信義路往仁愛路左側)。,秘書處,停車管理
"
54.",詢問寄送本部之公文或物件是否已收辦。,請於上班時間(上午 8 時 30 分至下午 17 時 30 分)向秘書處文檔科查詢，公文查詢專線電話：(02)2349-2464，將立即查復。,秘書處,公文管理
55,查詢交通部暨所屬各機關正副首長及國營事業董事長、總經理資訊。,"請於以下網站查詢：一、		交通部網站首頁/認識交通部/首長介紹/首長小檔案 (https://www.motc.gov.tw/ch/app/artwebsite?module=artwebsite& id=12&serno=null)二、	交通部觀光署網站首頁/行政資訊網/關於本署/首長簡介(https://admin.taiwan.net.tw/organize/ListPage?a=26)三、	交通部中央氣象署網站首頁/關於氣象署/正副首長介紹(https://www.cwa.gov.tw/V8/C/A/chief.html)四、	交通部公路局網站首頁/本局資訊/基本資訊/正副首長介紹(https://www.thb.gov.tw/cp.aspx?n=504)五、	交通部高速公路局網站首頁/本局資訊/基本資訊/局長簡介(https://www.freeway.gov.tw/Publish.aspx?cnid=538)六、	交通部鐵道局網站首頁/認識鐵道局/本局簡介/局長介紹 (https://www.rb.gov.tw/showpage.php?lmenuid=2&smenuid=66&tmenui d=8 7&pagetype=0)七、	交通部民用航空局網站首頁/關於本局/首長介紹(https://www.caa.gov.tw/article.aspx?a=174&lang=1)八、	交通部航港局網站首頁/關於本局/首長簡介",人事處,人事業務
,nan,"(https://www.motcmpb.gov.tw/Article?siteId=1&nodeId=5)九、	交通部運輸研究所網站首頁/關於本所/所長介紹(https://www.iot.gov.tw/np-6-1.html)十、	國營臺灣鐵路股份有限公司網站首頁/關於臺鐵公司/認識臺鐵公司/經營 團隊(https://www.railway.gov.tw/tra-tip- web/adr/AdrI190/AdrI190/view?grandParentTitle=2&parentTitle=4)十一、 中華郵政全球資訊網網站首頁/關於我們/董事長簡介、總經理簡介 (https://www.post.gov.tw/post/internet/Group/index.jsp?ID=1 561451696401)十二、 桃園國際機場股份有限公司網站首頁/公司介紹/經營團隊/董事會(https://www.taoyuanairport.com.tw/board)十三、 臺灣港務股份有限公司網站首頁/關於公司/經營團隊/董事長、總經理(https://www.twport.com.tw/chinese/cp.aspx)",nan,nan
56,詢問交通部業務職掌。,交通部主管全國交通行政及交通事業，涵蓋運輸、觀光、氣象、郵政等領 域，負責交通政策、法令規章之釐定和業務執行之督導。詳細內容可至交通部網站首頁/認識交通部/交通部介紹/業務職掌查詢。(https://www.motc.gov.tw/ch/app/artwebsite?module=artwebsite&id=728&serno=null),人事處,人事業務
57,詢問如何查詢交通部法令規定。,請於交通部網站首頁/政策、法規與研究/法規資訊/法規即時檢索（https://motclaw.motc.gov.tw/webMotcLaw2018/）點選或下載「系統操作手冊」。,法制處,交通法規查詢
58,詢問人民不服行政機關（本部所屬機關或直轄市、縣市政府涉及本部業務）之行政行為時，應如何救濟？,當本部所屬行政機關或直轄市、縣（市）政府所為單方行政作為影響人民權益，或造成財產上損失，而涉及本部業務範圍者，人民不服時，即得依訴願法向作成原行政機關或本部提起訴願。諸如：人民未領取旅館業登記證，即擅自經營旅館業務，經直轄市、縣（市）政府開立違反發展觀光條例事件處分書（裁處書）科處罰鍰；或本部公路局所為汽車燃料使用費之徵收；或直轄市、縣（市）政府依停車場法規定收取停車費等。,法制處,行政救濟
59,詢問如何提起訴願？訴願審議期間大概多久？,一、提起訴願，需備具訴願書，載明不服行政處分，並簽名或蓋章，詳細情形可參照交通部網站首頁/業務資訊/行政業務/訴願及國家賠償業務/認識訴願/訴願須知 (https://www.motc.gov.tw/petition/app/onemessage_list?lang=ch&folderName= petition&id=486)。二、依訴願法規定，原則上訴願審議期間為 3 個月，必要時得延長 2 個月。,法制處,行政救濟
60,詢問進入訴願程序時，如何提出陳述意見？如何申請言詞辯論？,請於交通部網站首頁/業務資訊/行政業務/訴願及國家賠償業務/訴願案件查詢/網路申請陳述意見及言詞辯論 (http://nseweb.motc.gov.tw/NSEWEB/WebSite/Sys/Func03)。,法制處,行政救濟
61,詢問如何得知訴願進度？,請於交通部網站首頁/業務資訊/行政業務/訴願及國家賠償業務/訴願案件查詢/訴願案件辦理查詢 (http://nseweb.motc.gov.tw/NSEWEB/WebSite/Sys/Func02)。,法制處,行政救濟
62,詢問如何查詢歷史訴願案件決定書？,請於交通部網站首頁/業務資訊/行政業務/訴願及國家賠償業務/訴願案件查詢/訴願決定書查詢(http://nseweb.motc.gov.tw/NSEWEB/WebSite/Sys/Func01)。,法制處,行政救濟
63,詢問收到訴願決定書，如有不服，應如何處理？,一、如果人民不服訴願之決定，或訴願機關於提起訴願後 3 個月內不為決定，或延長訴願決定期間逾 2 個月仍不為決定者，人民即得依行政訴訟法規定提起行政訴訟。二、其中不服行政機關所為新臺幣 50 萬元以下罰鍰處分而涉訟者，或是關於公法上財產關係訴訟標的金額或價額在新臺幣 50 萬元以下，或不服行政機關所為告誡、警告、記點、記次、講習、輔導教育或其他相類之輕微處分而涉訟者，係向行政機關所在地管轄之高等行政法院地方行政訴訟庭（臺北、臺中、高雄）提起簡易訴訟程序。三、其中不服行政機關所為新臺幣 50 萬元以上 150 萬元以下罰鍰處分或其附帶之其他裁罰性、管制性不利處分處分而涉訟者，或是關於公法上財產關係訴訟標的金額或價額在新臺幣 50 萬元以上 150 萬元以下者，係向行政機關所在地管轄之高等行政法院地方行政訴訟庭（臺北、臺中、高雄）提起通常訴訟程序。,法制處,行政救濟
,nan,至於上述類型以外之行政處分，則向管轄之高等行政法院高等行政訴訟庭（臺北、臺中、高雄）提起通常訴訟程序。若訴願決定確定者，可依訴願法第 97 條規定向本處會提起再審程序。若仍有訴願方面疑問，請洽本部法制處訴願審議委員會。,nan,nan
64,詢問國賠統計資料應如何查詢？ 如何向本部請求國家賠償？,一、請民眾至本部網頁/新聞與公開資訊/資訊公開/主動公開政府資訊(5 施政計畫、業務統計及研究報告)/2.業務統計) (https://www.motc.gov.tw/ch/app/data/list?id=2711)查詢。二、請民眾至交通部網站首頁/業務資訊/行政業務/訴願及國家賠償業務/國家賠償/國家賠償請求書格式 (https://www.motc.gov.tw/petition/app/data/list?id=1153)。,法制處,國家賠償
65,詢問交通部受理檢舉貪瀆不法方式。,廉政信箱：dac@motc.gov.tw廉政檢舉專線電話：(02）2349-2543廉政檢舉專線傳真：(02）2331-7345檢舉信箱：臺北郵局第 177-17 號信箱,政風處,檢舉貪瀆
66,詢問本部是否辦理相關電話調查業務。,一、您可透過以下二種路徑，於本部網頁查詢統計處正在辦理之調查：1. 「新聞與公開資訊/新聞與公告」項下進入「公告訊息」 (https://www.motc.gov.tw/ch/app/multimessages_list?lang=ch&folderName= ch&id=15)。2. 「新聞與公開資訊/統計資訊」項下進入「布告欄」 (https://www.motc.gov.tw/ch/app/data/list?id=53)。二、您亦可至行政院主計總處網頁「主要業務/政府統計」項下進入「本月辦理統計調查總覽」查證 (https://enterprise.dgbas.gov.tw/STATSVY/manager/indexn.jsp)。,統計處,調查統計
67,查詢相關調查報告分析。,請於本部網頁「新聞與公開資訊/統計資訊」項下進入「調查統計提要分析」 (https://www.motc.gov.tw/ch/app/statistics101?lang=ch&folderName=ch&id=56)，再選取調查「年度」及輸入「調查名稱」。,統計處,調查統計
68,詢問交通部營運相關統計資料。,請於本部網頁「新聞與公開資訊/統計資訊」項下進入「交通部統計查詢網」 (https://stat.motc.gov.tw/mocdb/stmain.jsp?sys=100)，再進入「簡易查詢」，就所列述之郵政、鐵路、公路、水運、港埠、航空、觀光及氣象等類別，選取相關類別細分類，即可展示統計數據。若要查詢更多細項資料，則進入「主要查詢」，操作方式同前，選定後按「查詢」鍵即可產生統計數據。,統計處,公務統計
69,就本部辦理之工程，對規劃設計、工程品質、安全措施及環境設施等提出相關反映或建議。,一、有關反應之工程缺失及建議，建議可登錄於行政院工程會之「全民監督公共工程通報平台」，透過行政院、本部及工程主辦單位之層層把關，確認缺失改善情形，俾維公共工程之施工品質。二、行政院工程會「全民監督公共工程通報平台」，可透過電話方式(0800- 009-609)、網路通報(https://pcic.pcc.gov.tw/pwc-web/service/ins07)及智慧型手機 APP 等方式，將所見缺失或意見，登錄於該網站，本部俟接獲該會分派案件後，即責成權屬機關(構)速就反映事項或建議，予以答復或辦理改善事宜，連絡電話：(02)2349-2015。,綜合規劃司,全民督工
"



70.",查閱交通部歷年預算及決算書。,請於交通部網站首頁/ 新聞與公開資訊/ 資訊公開/ 主動公開政府資訊(https://www.motc.gov.tw/ch/app/artwebsite?module=artwebsite&id=2631) 分類項 目「預算及決算書」、「會計報告」依查閱需求點選，即可看到本部歷年預算及決算書，本案連絡電話如下：單位預、決算及會計月報；連絡電話：(02)2349-2636、交通作業基金預算；連絡電話：(02)2349-2277、交通作業基金決算；連絡電話：(02)2349-2272、交通作業基金會計月報；連絡電話：(02)2349-2679、前瞻基礎建設計畫特別決算及會計月報(第 1-4 期)；連絡電話：(02)2349-2670、嚴重特殊傳染性肺炎防治及紓困振興特別決算及會計月報；連絡電話：(02)2349-2670。,會計處,預算及決算書
71,查閱交通部主管歷年獎補助費明細表。,請於交通部網站首頁/新聞與公開資訊/資訊公開/主動公開政府資訊 (https://www.motc.gov.tw/ch/app/artwebsite/view?module=artwebsite&id=2631 )分類點選「支付或接受之補助」按「查詢」，即可看到本部主管歷年獎補助費明細表，本案連絡電話：(02)2349-2626。,會計處,支付或接受之補助
72,查閱交通部主管各項政策宣導之廣告。,請於交通部網站首頁/新聞與公開資訊/資訊公開/主動公開政府資訊 (https://www.motc.gov.tw/ch/app/artwebsite/view?module=artwebsite&id=2631)點選「辦理政策宣導之廣告」按「查詢」，即可看到本部主管歷年各項政策宣導之廣告，本案連絡電話：(02)2349-2626。,會計處,辦理政策宣導之廣告
73,查閱交通部對所屬機關辦理民間團體及個人補(捐)助業務督導考核要點。,請於交通部網站首頁/認識交通部/交通部介紹/交通部組織/會計處/會計資訊網/法規專區/相關法規 (https://www.motc.gov.tw/accounting/app/multimessages_list?lang=ch&folderNam e=accounting&id=557)，即可看到交通部對所屬機關辦理民間團體及個人補(捐)助業務督導考核要點，本案連絡電話：(02)2349-2472。,會計處,法規
